"year"	"FFD"	"id"	"n_intact_seeds"	"n_fl"	"min_4"	"precipitation_3"	"precipitation_4"
"1987"	56.8819444444	"old_76"	7	30	0.48	25.4	5.7
"1987"	59.8819444444	"old_247"	9	33	0.48	25.4	5.7
"1987"	59.8819444444	"old_3021"	0	8	0.48	25.4	5.7
"1987"	59.8819444444	"old_131"	0	10	0.48	25.4	5.7
"1987"	59.8819444444	"old_3022"	0	16	0.48	25.4	5.7
"1987"	60.8819444444	"old_1186"	29	28	0.48	25.4	5.7
"1987"	60.8819444444	"old_61"	11	14	0.48	25.4	5.7
"1987"	60.8819444444	"old_263"	0	40	0.48	25.4	5.7
"1987"	60.8819444444	"old_3038"	2	15	0.48	25.4	5.7
"1987"	60.8819444444	"old_99"	2	23	0.48	25.4	5.7
"1987"	61.8819444444	"old_1039"	0	24	0.48	25.4	5.7
"1987"	61.8819444444	"old_817"	0	7	0.48	25.4	5.7
"1987"	61.8819444444	"old_464"	0	19	0.48	25.4	5.7
"1987"	62.8819444444	"old_3039"	2	38	0.48	25.4	5.7
"1987"	62.8819444444	"old_120"	13.025184	11	0.48	25.4	5.7
"1987"	62.8819444444	"old_269"	17	25	0.48	25.4	5.7
"1987"	62.8819444444	"old_3037"	10	81	0.48	25.4	5.7
"1987"	62.8819444444	"old_680"	7	6	0.48	25.4	5.7
"1987"	62.8819444444	"old_808"	6.512592	4	0.48	25.4	5.7
"1987"	62.8819444444	"old_3041"	0	8	0.48	25.4	5.7
"1987"	62.8819444444	"old_1111"	11	8	0.48	25.4	5.7
"1987"	62.8819444444	"old_809"	0	6	0.48	25.4	5.7
"1987"	62.8819444444	"old_3026"	2	17	0.48	25.4	5.7
"1987"	62.8819444444	"old_146"	12	21	0.48	25.4	5.7
"1987"	62.8819444444	"old_72"	13	16	0.48	25.4	5.7
"1987"	62.8819444444	"old_3042"	2	11	0.48	25.4	5.7
"1987"	62.8819444444	"old_812"	9	15	0.48	25.4	5.7
"1987"	62.8819444444	"old_833"	14	11	0.48	25.4	5.7
"1987"	62.8819444444	"old_19"	14	14	0.48	25.4	5.7
"1987"	62.8819444444	"old_3002"	6	7	0.48	25.4	5.7
"1987"	62.8819444444	"old_5"	8	7	0.48	25.4	5.7
"1987"	62.8819444444	"old_3029"	25	14	0.48	25.4	5.7
"1987"	62.8819444444	"old_3003"	0	8	0.48	25.4	5.7
"1987"	62.8819444444	"old_251"	22	21	0.48	25.4	5.7
"1987"	62.8819444444	"old_77"	4	23	0.48	25.4	5.7
"1987"	62.8819444444	"old_792"	0	9	0.48	25.4	5.7
"1987"	62.8819444444	"old_753"	58	48	0.48	25.4	5.7
"1987"	62.8819444444	"old_191"	15	4	0.48	25.4	5.7
"1987"	62.8819444444	"old_80"	3	3	0.48	25.4	5.7
"1987"	62.8819444444	"old_441"	12	9	0.48	25.4	5.7
"1987"	62.8819444444	"old_279"	0	26	0.48	25.4	5.7
"1987"	62.8819444444	"old_124"	0	35	0.48	25.4	5.7
"1987"	62.8819444444	"old_3011"	0	8	0.48	25.4	5.7
"1987"	62.8819444444	"old_281"	56	24	0.48	25.4	5.7
"1987"	62.8819444444	"old_62"	0	8	0.48	25.4	5.7
"1987"	62.8819444444	"old_3019"	13	12	0.48	25.4	5.7
