year	id	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	FFD_corr	vernal	FFD_julian	FFD_action	grazing_date	grazing_julian	bud_data
2006	1																							L																					NA	20/03/06 18:25	NA	impute	19/05/2006	59,2326388889	1
2006	2																							L																					16/05/2006	20/03/06 18:25	56,2326388889	ok			1
2006	3																							L																					16/05/2006	20/03/06 18:25	56,2326388889	ok			1
2006	5																							L																					15/05/2006	20/03/06 18:25	55,2326388889	ok			1
2006	6																			L																									13/05/2006	20/03/06 18:25	53,2326388889	ok_g			1
2006	7																																												NA	20/03/06 18:25	NA	impute	18/05/2006	58,2326388889	0
2006	8																			L																									13/05/2006	20/03/06 18:25	53,2326388889	ok			1
2006	9																																												NA	20/03/06 18:25	NA	impute	08/05/2006	48,2326388889	0
2006	10															M				L																									18/05/2006	20/03/06 18:25	58,2326388889	ok_g			1
2006	11																			M				L																					19/05/2006	20/03/06 18:25	59,2326388889	ok			1
2006	12																			L																									13/05/2006	20/03/06 18:25	53,2326388889	ok_g			1
2006	13																			M				L																					19/05/2006	20/03/06 18:25	59,2326388889	ok			1
2006	14																																												NA	20/03/06 18:25	NA	impute	03/05/2006	43,2326388889	0
2006	15															M				L																									18/05/2006	20/03/06 18:25	58,2326388889	withered			1
2006	16															L																													12/05/2006	20/03/06 18:25	52,2326388889	ok			1
2006	17															L																													10/05/2006	20/03/06 18:25	50,2326388889	ok			1
2006	18																			L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	19																			L																									18/05/2006	20/03/06 18:25	58,2326388889	withered			1
2006	20															L																													18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	21																			L																									18/05/2006	20/03/06 18:25	58,2326388889	withered			1
2006	22																																												NA	20/03/06 18:25	NA	impute	03/05/2006	43,2326388889	0
2006	23															L																													NA	20/03/06 18:25	NA	impute	12/05/2006	52,2326388889	1
2006	24															S				L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	25																			L																									NA	20/03/06 18:25	NA	impute			1
2006	26																			L																									NA	20/03/06 18:25	NA	impute			1
2006	27																			L																									NA	20/03/06 18:25	NA	impute	18/05/2006	58,2326388889	1
2006	29															S				L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	30																			L																									NA	20/03/06 18:25	NA	impute	18/05/2006	58,2326388889	1
2006	31																			L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	32																			L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	33																			L																									NA	20/03/06 18:25	NA	impute	18/05/2006	58,2326388889	1
2006	34																			L																									NA	20/03/06 18:25	NA	impute	18/05/2006	58,2326388889	1
2006	35															M				L																									18/05/2006	20/03/06 18:25	58,2326388889	ok_g + withered			1
2006	36															M				L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	37															M				L																									18/05/2006	20/03/06 18:25	58,2326388889	withered			1
2006	38																																												19/05/2006	20/03/06 18:25	59,2326388889	ok			0
2006	39																																												19/05/2006	20/03/06 18:25	59,2326388889	withered			0
2006	40																																												NA	20/03/06 18:25	NA	impute	08/05/2006	48,2326388889	0
2006	43																			L																									NA	20/03/06 18:25	NA	impute	18/05/2006	58,2326388889	1
2006	46															M				L																									15/05/2006	20/03/06 18:25	55,2326388889	withered			1
2006	47																			L																									18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	48																			L																									18/05/2006	20/03/06 18:25	58,2326388889	withered			1
2006	49																																												NA	20/03/06 18:25	NA	impute	08/05/2006	48,2326388889	0
2006	50																			L																									18/05/2006	20/03/06 18:25	58,2326388889	ok_g			1
2006	53															S				L																									18/05/2006	20/03/06 18:25	58,2326388889	withered			1
2006	54																			M						L																			22/05/2006	20/03/06 18:25	62,2326388889	withered			1
2006	55															L				L																									10/05/2006	20/03/06 18:25	50,2326388889	ok			1
2006	56																							S						L															04/06/2006	20/03/06 18:25	75,2326388889	ok_added			1
2006	57																							L																					16/05/2006	20/03/06 18:25	56,2326388889	ok			1
2006	58																							L																					22/05/2006	20/03/06 18:25	62,2326388889	ok_g			1
2006	59																							L																					22/05/2006	20/03/06 18:25	62,2326388889	ok			1
2006	60																							L																					18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	61																							L																					22/05/2006	20/03/06 18:25	62,2326388889	ok			1
2006	62																																												NA	20/03/06 18:25	NA	impute	16/05/2006	56,2326388889	0
2006	63																							L																					22/05/2006	20/03/06 18:25	62,2326388889	withered			1
2006	64																							L																					15/05/2006	20/03/06 18:25	55,2326388889	ok			1
2006	65																							L																					14/05/2006	20/03/06 18:25	54,2326388889	withered			1
2006	66																							L																					14/05/2006	20/03/06 18:25	54,2326388889	withered			1
2006	67																							L																					16/05/2006	20/03/06 18:25	56,2326388889	ok			1
2006	68																							L																					16/05/2006	20/03/06 18:25	56,2326388889	ok			1
2006	69																							L																					15/05/2006	20/03/06 18:25	55,2326388889	ok			1
2006	70																							L																					18/05/2006	20/03/06 18:25	58,2326388889	ok			1
2006	71																							L																					16/05/2006	20/03/06 18:25	56,2326388889	ok			1
2006	72																							L																					14/05/2006	20/03/06 18:25	54,2326388889	withered			1
