year	FFD_julian
1987	144
1987	145
1987	151
1987	143
1987	143
1987	147
1987	143
1987	145
1987	144
1987	149
1987	145
1987	151
1987	155
1987	144
1987	151
1987	143
1987	143
1987	148
1987	145
1987	143
1987	145
1987	145
1987	144
1987	149
1987	145
1987	147
1987	152
1987	149
1987	151
1987	149
1987	147
1987	154
1987	143
1987	143
1987	144
1987	143
1987	152
1987	147
1987	155
1987	145
1987	143
1987	149
1987	147
1987	143
1987	151
1987	149
1987	151
1987	145
1987	143
1987	149
1987	151
1987	143
1987	151
1987	149
1987	147
1987	155
1987	151
1987	147
1987	145
1987	143
1987	153
1987	141
1987	143
1987	144
1987	147
1987	153
1987	147
1987	153
1987	151
1987	143
1987	143
1987	155
1987	155
1987	159
1987	147
1987	145
1987	144
1987	143
1987	143
1987	147
1987	155
1987	144
1987	140
1987	143
1987	145
1987	151
1987	143
1987	143
1987	151
1987	147
1987	137
1987	141
1987	157
1987	145
1987	149
1987	141
1987	143
1987	149
1987	141
1987	151
1987	148
1987	143
1987	145
1987	147
1987	143
1987	145
1987	148
1987	149
1987	151
1987	145
1987	148
1987	145
1987	143
1987	149
1987	145
1987	148
1987	151
1987	143
1987	144
1987	143
1987	153
1987	156
1987	153
1987	147
1987	151
1987	145
1987	149
1987	148
1987	147
1987	149
1987	143
1987	145
1987	155
1987	151
1987	153
1987	143
1987	149
1987	142
1987	149
1987	145
1987	148
1987	151
1987	144
1987	144
1987	144
1987	151
1987	149
1987	143
1987	145
1987	148
1987	144
1987	143
1987	145
1987	145
1987	143
1987	157
1987	143
1987	149
1987	148
1987	153
1987	149
1987	152
1987	147
1987	152
1987	142
1987	142
1987	147
1987	143
1987	144
1987	144
1987	143
1987	143
1987	144
1987	143
1987	143
1987	160
1987	143
1987	144
1987	143
1987	143
1987	143
1987	144
1987	143
1987	147
1987	143
1987	144
1987	143
1987	143
1987	143
1987	143
1987	143
1987	148
1987	153
1987	147
1987	143
1987	143
1987	145
1987	151
1987	148
1987	147
1987	156
1987	147
1987	143
1987	143
1987	140
1987	140
1987	145
1987	147
1987	143
1987	151
1987	148
1987	145
1987	143
1987	143
1987	143
1987	143
1987	143
1987	143
1987	143
1987	148
1987	140
1987	143
1987	144
1987	147
1987	143
1987	143
1987	143
1987	143
1987	148
1987	143
1987	143
1987	148
1987	143
1987	155
1987	143
1987	141
1987	143
1987	144
1988	139
1988	145
1988	138
1988	134
1988	139
1988	134
1988	137
1988	145
1988	137
1988	139
1988	136
1988	136
1988	141
1988	141
1988	146
1988	144
1988	143
1988	152
1988	140
1988	148
1988	139
1988	139
1988	142
1988	140
1988	134
1988	141
1988	141
1988	150
1988	144
1988	143
1988	142
1988	138
1988	136
1989	131
1989	138
1989	131
1989	127
1989	126
1989	133
1989	129
1989	136
1989	131
1989	130
1989	137
1989	134
1989	130
1989	135
1989	127
1989	137
1989	134
1989	134
1989	140
1989	133
1989	136
1989	131
1989	126
1989	133
1989	142
1989	134
1989	126
1989	139
1989	134
1989	130
1989	129
1989	134
1989	136
1989	133
1989	141
1989	131
1989	130
1989	131
1989	131
1989	135
1989	132
1989	133
1989	135
1989	132
1989	133
1989	140
1989	135
1989	134
1989	130
1989	134
1989	125
1989	130
1989	130
1989	129
1989	134
1989	137
1989	126
1989	135
1989	143
1989	130
1989	134
1989	136
1989	141
1989	134
1989	130
1989	133
1989	125
1989	136
1989	136
1989	131
1989	140
1989	134
1989	137
1989	131
1989	136
1989	137
1989	127
1989	126
1989	132
1989	138
1989	133
1989	133
1989	131
1989	138
1989	140
1989	131
1989	130
1989	126
1989	140
1989	134
1989	141
1989	133
1989	131
1989	135
1989	139
1989	139
1989	134
1989	145
1989	136
1989	131
1989	131
1989	141
1989	136
1989	126
1989	126
1989	126
1989	131
1989	131
1989	131
1989	131
1989	121
1989	136
1989	131
1989	136
1989	131
1990	131
1990	131
1990	131
1990	131
1990	131
1990	131
1990	131
1990	136
1990	131
1990	146
1990	136
1990	136
1990	141
1990	131
1990	136
1990	141
1990	136
1990	131
1990	136
1990	126
1990	136
1990	136
1990	136
1990	136
1990	136
1990	131
1990	136
1990	136
1990	136
1990	131
1990	136
1990	131
1990	136
1990	131
1990	136
1990	131
1990	136
1990	131
1990	136
1990	136
1990	136
1990	141
1990	136
1990	141
1990	131
1990	141
1990	131
1990	136
1990	131
1990	131
1990	141
1990	141
1990	151
1990	136
1990	136
1990	136
1990	131
1990	121
1990	141
1990	131
1990	136
1990	136
1990	131
1990	131
1990	141
1990	141
1990	141
1990	141
1990	131
1990	131
1990	146
1990	136
1990	141
1990	131
1990	126
1990	131
1990	131
1990	131
1990	136
1990	146
1990	146
1990	126
1990	136
1990	141
1990	136
1990	131
1990	141
1990	131
1990	131
1990	126
1990	136
1990	136
1990	141
1990	131
1990	136
1990	141
1990	136
1990	136
1990	136
1990	136
1990	136
1990	136
1990	136
1990	131
1990	131
1990	136
1990	131
1990	131
1990	126
1990	131
1990	126
1990	126
1990	126
1990	136
1990	136
1991	150
1991	145
1991	155
1991	140
1991	150
1991	140
1991	145
1991	145
1991	140
1991	140
1991	140
1991	140
1991	140
1991	140
1991	145
1991	140
1991	140
1991	150
1991	145
1991	155
1991	140
1991	145
1991	155
1991	145
1991	155
1991	140
1991	140
1991	140
1991	140
1991	140
1991	145
1991	140
1991	145
1991	140
1991	155
1991	155
1991	155
1991	155
1991	140
1991	155
1991	140
1991	140
1991	155
1991	155
1991	150
1991	140
1991	145
1991	145
1991	135
1991	135
1991	155
1991	140
1991	140
1991	140
1991	145
1991	145
1991	140
1991	145
1991	135
1991	145
1991	145
1991	150
1991	145
1991	140
1991	140
1991	155
1991	150
1991	145
1991	135
1991	135
1991	135
1991	150
1991	150
1991	155
1991	150
1991	140
1991	135
1991	135
1991	150
1991	145
1991	145
1991	140
1991	140
1991	145
1991	150
1991	150
1991	145
1991	145
1991	150
1991	140
1991	145
1991	145
1991	140
1991	140
1991	150
1991	145
1991	140
1991	145
1991	145
1991	145
1991	145
1991	145
1991	155
1991	145
1991	145
1991	155
1991	145
1991	145
1991	145
1991	145
1991	155
1991	155
1991	140
1991	135
1991	150
1991	155
1991	140
1991	155
1991	150
1991	135
1991	150
1991	140
1991	145
1991	140
1991	145
1991	145
1991	140
1991	145
1991	145
1991	155
1991	135
1991	150
1991	155
1991	145
1991	145
1991	145
1991	150
1991	155
1991	140
1991	140
1991	145
1991	155
1991	145
1991	150
1991	140
1991	140
1991	155
1991	140
1991	135
1991	155
1991	140
1991	140
1991	140
1991	155
1991	145
1991	140
1991	150
1991	155
1991	140
1991	140
1991	140
1991	140
1991	145
1991	150
1991	145
1991	155
1991	155
1991	140
1991	145
1991	150
1991	145
1991	145
1991	155
1991	150
1991	140
1991	145
1991	130
1991	145
1991	140
1991	145
1992	136
1992	141
1992	146
1992	136
1992	141
1992	141
1992	146
1992	141
1992	136
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	146
1992	141
1992	146
1992	146
1992	146
1992	141
1992	136
1992	136
1992	141
1992	141
1992	136
1992	141
1992	136
1992	136
1992	141
1992	136
1992	141
1992	141
1992	141
1992	136
1992	136
1992	141
1992	141
1992	146
1992	141
1992	136
1992	141
1992	136
1992	141
1992	141
1992	141
1992	141
1992	141
1992	141
1992	136
1992	136
1992	141
1992	141
1992	136
1992	136
1992	146
1992	146
1992	141
1992	141
1992	141
1992	136
1992	136
1992	141
1992	141
1992	141
1992	136
1992	141
1992	146
1992	141
1992	136
1992	141
1992	136
1992	146
1992	141
1992	141
1992	141
1992	136
1992	141
1992	136
1992	136
1992	141
1992	141
1992	146
1992	141
1992	141
1992	141
1992	141
1992	136
1992	141
1992	141
1992	141
1992	136
1992	136
1992	141
1992	141
1992	146
1992	136
1992	136
1992	141
1992	146
1992	146
1992	136
1992	141
1992	141
1992	136
1992	141
1992	136
1992	141
1992	141
1992	136
1992	141
1993	135
1993	140
1993	130
1993	135
1993	135
1993	140
1993	130
1993	140
1993	140
1993	135
1993	135
1993	135
1993	135
1993	130
1993	130
1993	130
1993	140
1993	140
1993	140
1993	140
1993	135
1993	135
1993	135
1993	135
1993	130
1993	135
1993	130
1993	135
1993	140
1993	135
1993	135
1993	140
1993	135
1993	130
1993	130
1993	135
1993	140
1993	140
1993	135
1993	145
1993	125
1993	135
1993	140
1993	135
1993	140
1993	135
1993	135
1993	130
1993	135
1993	140
1993	130
1993	135
1993	135
1993	135
1993	135
1993	135
1993	140
1993	135
1993	145
1993	145
1993	135
1993	135
1993	135
1993	135
1993	140
1993	135
1993	135
1993	140
1993	130
1993	135
1993	135
1993	135
1993	135
1993	140
1993	135
1993	135
1993	135
1993	140
1993	140
1993	135
1993	130
1993	135
1993	140
1993	140
1993	135
1993	135
1993	130
1993	135
1993	140
1993	140
1993	140
1993	135
1993	135
1993	130
1993	140
1993	135
1993	130
1993	135
1993	135
1993	135
1993	135
1993	135
1993	135
1993	135
1993	130
1993	130
1993	135
1993	135
1993	130
1993	135
1993	135
1993	140
1993	135
1993	135
1993	130
1993	140
1993	130
1993	130
1993	140
1993	135
1993	135
1993	135
1993	135
1993	135
1993	135
1993	140
1993	130
1993	135
1993	130
1993	140
1993	135
1993	130
1993	135
1993	130
1993	135
1993	130
1993	140
1993	130
1993	140
1993	135
1993	130
1993	135
1993	130
1993	130
1993	140
1993	135
1993	135
1993	135
1993	130
1993	135
1993	135
1993	130
1993	135
1993	135
1993	130
1993	140
1993	130
1993	130
1993	135
1993	135
1993	140
1993	135
1993	135
1993	135
1993	135
1993	130
1993	135
1993	140
1993	140
1993	140
1993	140
1993	140
1993	140
1993	135
1993	130
1994	139
1994	134
1994	144
1994	144
1994	139
1994	134
1994	139
1994	144
1994	144
1994	139
1994	139
1994	139
1994	139
1994	144
1994	139
1994	134
1994	149
1994	134
1994	139
1994	154
1994	139
1994	144
1994	144
1994	139
1994	134
1994	139
1994	134
1994	139
1994	139
1994	139
1994	134
1994	139
1994	139
1994	139
1994	134
1994	134
1994	134
1994	134
1994	139
1994	139
1994	139
1994	134
1994	139
1994	139
1994	144
1994	134
1994	134
1994	149
1994	149
1994	149
1994	134
1994	144
1994	134
1994	144
1994	139
1994	139
1994	139
1994	139
1994	149
1994	134
1994	134
1994	139
1994	139
1994	144
1994	139
1994	149
1994	134
1994	149
1994	149
1994	134
1994	144
1994	134
1994	134
1994	149
1994	144
1994	139
1994	139
1994	139
1994	144
1994	149
1994	144
1994	134
1994	134
1994	134
1994	144
1994	149
1994	144
1994	134
1994	144
1994	134
1994	139
1994	134
1994	149
1994	144
1994	134
1994	134
1994	139
1994	139
1994	139
1994	139
1994	144
1994	139
1994	139
1994	134
1994	139
1994	134
1994	134
1994	139
1994	139
1994	134
1994	139
1994	139
1994	144
1994	149
1994	154
1994	144
1994	134
1994	139
1994	144
1994	139
1994	139
1994	149
1994	139
1994	139
1994	134
1994	144
1994	134
1994	144
1994	144
1994	149
1994	139
1994	134
1994	134
1994	159
1994	149
1994	149
1994	144
1994	149
1994	139
1994	144
1994	149
1994	134
1994	154
1994	149
1994	139
1994	144
1994	149
1994	134
1994	139
1994	139
1994	134
1994	139
1994	139
1994	139
1994	139
1994	134
1994	139
1994	134
1994	154
1994	134
1994	139
1994	139
1994	139
1994	139
1994	139
1994	134
1994	134
1994	144
1994	149
1994	134
1994	134
1994	139
1994	144
1994	144
1994	139
1994	144
1994	144
1994	134
1994	134
1994	134
1994	134
1994	144
1994	134
1994	139
1994	134
1994	134
1994	134
1995	149
1995	144
1995	144
1995	149
1995	154
1995	144
1995	154
1995	149
1995	154
1995	149
1995	149
1995	154
1995	154
1995	144
1995	154
1995	154
1995	154
1996	144
1996	159
1996	163
1996	149
1996	149
1996	151
1996	151
1996	159
1996	157
1996	149
1996	144
1996	154
1996	154
1996	146
1996	149
1996	149
1996	155
1996	146
1996	157
1996	144
1996	149
1996	149
1996	157
1996	155
1996	159
1996	152
1996	152
1996	161
1996	161
1996	159
1996	155
1996	149
1996	149
1996	144
1996	159
1996	151
1996	159
1996	157
1996	151
1996	154
1996	149
1996	151
1996	154
1996	149
1996	144
1996	159
1996	155
1996	155
1996	146
1996	151
1996	154
1996	154
1996	144
1996	155
1996	144
1996	152
1996	157
1996	149
1996	149
1996	146
1996	151
1996	144
1996	149
1996	144
1996	159
1996	154
1996	144
1996	154
1996	159
1996	154
1996	154
1996	155
1996	149
1996	154
1996	144
1996	144
1996	149
1996	146
1996	154
1996	149
1996	154
1996	151
1996	154
1996	157
1996	159
1996	155
1996	157
1996	157
1996	151
1996	151
1996	151
1996	149
1996	157
1996	146
1996	149
1996	159
1996	151
1996	155
1996	161
1996	153
1996	151
1996	151
1996	140
1996	152
1996	151
1996	152
1996	161
1996	146
1996	154
1996	154
1996	151
1996	151
1996	151
1996	140
1996	140
1996	144
1996	144
1996	152
1996	155
1996	157
1996	157
1996	155
1996	151
1996	155
