"year"	"id"	"data"	"FFD_corr"	"FFD_action"	"grazing"	"shoot_vol"	"shoot_vol_action"	"cum_n_fl"	"cum_n_fl_action"	"n_fr"	"n_ovules"	"total_n_seeds"	"total_n_intact_seeds"	"FFD"	"FFD_imputed"
"1"	2006	1	1	NA	"impute"	1	1830.44	"ok_p"	NA	"impute"	0	0	0	0	140	1
"2"	2006	2	1	2006-05-16	"ok"	1	1337.34	"ok_p"	2	"ok"	0	0	0	0	136	0
"3"	2006	3	1	2006-05-16	"ok"	0.5	2714.66	"ok_m"	8	"ok"	1	10	2	0	136	0
"4"	2006	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	2006	5	1	2006-05-15	"ok"	0	5700.87	"ok"	39	"ok"	5	63	31	21.3125	135	0
"6"	2006	6	1	2006-05-13	"ok_g"	0.2	10225.17	"ok_m"	76	"ok"	17	233	61	36	133	0
"7"	2006	7	1	NA	"impute"	1	3125.08	"ok_m"	NA	"impute"	0	0	0	0	150	1
"8"	2006	8	1	2006-05-13	"ok"	0.3333333333	3024.34	"ok_m"	26	"ok"	3	42	12	8	133	0
"9"	2006	9	1	NA	"impute"	0.6	5096.56	"ok"	33	"ok"	5	64	19	8	136	1
"10"	2006	10	1	2006-05-18	"ok_g"	0.375	21975.75	"ok"	180	"ok"	25	324	111	43.4845360825	138	0
"11"	2006	11	1	2006-05-19	"ok"	0	4131.16	"ok_m"	22	"ok"	2	25	14	9	139	0
"12"	2006	12	1	2006-05-13	"ok_g"	0.3333333333	5190.46	"ok_m"	15	"ok"	6	86	46	37.8222222222	133	0
"13"	2006	13	1	2006-05-19	"ok"	0	7661.87	"ok"	25	"ok"	4	56	29	17	139	0
"14"	2006	14	1	NA	"impute"	1	2473.2	"ok_m"	NA	"impute"	4	54	16	11	136	1
"15"	2006	15	1	2006-05-18	"withered"	0.5	3743.84	"ok_p"	38	"ok"	10	140	51	27.625	138	0
"16"	2006	16	1	2006-05-12	"ok"	0	2780.34	"ok"	40	"ok"	2	29	7	5.8333333333	132	0
"17"	2006	17	1	2006-05-10	"ok"	0	3940.37	"ok"	70	"ok"	18	246	77	25.1428571429	130	0
"18"	2006	18	1	2006-05-18	"ok"	0	2252.27	"ok"	13	"ok"	3	36	15	8.1818181818	138	0
"19"	2006	19	1	2006-05-18	"withered"	0	3158.23	"ok"	21	"ok"	6	83	30	17	138	0
"20"	2006	20	1	2006-05-18	"ok"	0	7367.86	"ok"	51	"ok"	11	156	46	11.7674418605	138	0
"21"	2006	21	1	2006-05-18	"withered"	0	6428.97	"ok"	26	"ok"	9	138	66	34	138	0
"22"	2006	22	1	NA	"impute"	0.8571428571	30567.02	"ok_m"	40	"ok"	14	180	64	54	142	1
"23"	2006	23	1	NA	"impute"	0.6	10841.4	"ok_m"	NA	"impute"	3	43	20	10	132	1
"24"	2006	24	1	2006-05-18	"ok"	0.6	5162.54	"ok_m"	39	"ok"	1	14	10	4	138	0
"25"	2006	25	1	NA	"impute"	0.3333333333	1977.9	"ok_m"	NA	"impute"	0	0	0	0	140	1
"26"	2006	25	1	NA	"impute"	0.3333333333	1977.9	"ok_m"	NA	"impute"	0	0	0	0	136	1
"27"	2006	26	1	NA	"impute"	0.3333333333	3992.07	"ok_m"	3	"ok"	0	0	0	0	136	1
"28"	2006	27	1	NA	"impute"	0.5	1084.15	"ok_m"	21	"ok"	2	27	20	20	140	1
"29"	2006	27	1	NA	"impute"	0.5	1084.15	"ok_m"	21	"ok"	2	27	20	20	136	1
"30"	2006	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"31"	2006	29	1	2006-05-18	"ok"	0	3027.97	"ok"	43	"ok"	4	58	30	15	138	0
"32"	2006	30	1	NA	"impute"	1	826	"ok_p"	NA	"impute"	0	0	0	0	140	1
"33"	2006	30	1	NA	"impute"	1	826	"ok_p"	NA	"impute"	0	0	0	0	136	1
"34"	2006	31	1	2006-05-18	"ok"	1	459.1	"ok_p"	12	"ok"	0	0	0	0	138	0
"35"	2006	32	1	2006-05-18	"ok"	0	1129	"ok"	8	"ok"	3	44	28	16	138	0
"36"	2006	33	1	NA	"impute"	1	1200.78	"ok_m"	NA	"impute"	0	0	0	0	140	1
"37"	2006	33	1	NA	"impute"	1	1200.78	"ok_m"	NA	"impute"	0	0	0	0	136	1
"38"	2006	34	1	NA	"impute"	1	2568.36	"ok_p"	NA	"impute"	0	0	0	0	136	1
"39"	2006	35	1	2006-05-18	"ok_g + withered"	0.4	7980.35	"ok_p"	100	"ok"	16	230	98	5.8507462687	138	0
"40"	2006	36	1	2006-05-18	"ok"	0.25	5186.66	"ok_m"	25	"ok"	10	133	54	15	138	0
"41"	2006	37	1	2006-05-18	"withered"	0	1424.46	"ok"	31	"ok"	6	74	38	31.0909090909	138	0
"42"	2006	38	1	2006-05-19	"ok"	0	1449.26	"ok"	7	"ok"	2	28	7	1	NA	NA
"43"	2006	39	1	2006-05-19	"withered"	0	3514.37	"ok"	20	"ok"	1	14	9	2.25	NA	NA
"44"	2006	40	1	NA	"impute"	0.6666666667	11457.92	"ok_m"	8	"ok"	0	0	0	0	142	1
"45"	2006	41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"46"	2006	42	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"47"	2006	43	1	NA	"impute"	1	93.46	"ok_p"	NA	"impute"	0	0	0	0	140	1
"48"	2006	43	1	NA	"impute"	1	93.46	"ok_p"	NA	"impute"	0	0	0	0	136	1
"49"	2006	44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"50"	2006	45	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"51"	2006	46	1	2006-05-15	"withered"	1	608.51	"ok_p"	6	"ok"	2	28	13	9	135	0
"52"	2006	47	1	2006-05-18	"ok"	0	1732.97	"ok"	12	"ok"	3	39	17	6.375	138	0
"53"	2006	48	1	2006-05-18	"withered"	0	4007.97	"ok"	34	"ok"	5	68	24	2	138	0
"54"	2006	49	1	NA	"impute"	0.8	4889.71	"ok_m"	10	"ok"	3	38	15	4	136	1
"55"	2006	50	1	2006-05-18	"ok_g"	0.3333333333	3539.79	"ok_m"	40	"ok"	9	125	60	34	138	0
"56"	2006	51	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"57"	2006	52	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"58"	2006	53	1	2006-05-18	"withered"	0	3202.53	"ok"	34	"ok"	8	107	29	0	138	0
"59"	2006	54	1	2006-05-22	"withered"	0	1174.08	"ok"	21	"ok"	3	35	11	0	142	0
"60"	2006	55	1	2006-05-10	"ok"	0	1374.6	"ok"	18	"ok"	6	86	25	NA	130	0
"61"	2006	56	1	2006-06-04	"ok_added"	0	2872.11	"ok"	1	"ok"	0	0	0	0	155	0
"62"	2006	57	1	2006-05-16	"ok"	0	2746.64	"ok"	40	"ok"	9	123	44	24	136	0
"63"	2006	58	1	2006-05-22	"ok_g"	0.5	534.21	"ok_p"	7	"ok"	3	34	13	13	142	0
"64"	2006	59	1	2006-05-22	"ok"	0	853.74	"ok"	10	"ok"	1	13	5	4	142	0
"65"	2006	60	1	2006-05-18	"ok"	0	2408.32	"ok"	12	"ok"	3	39	18	6	138	0
"66"	2006	61	1	2006-05-22	"ok"	0	479.19	"ok"	5	"ok"	0	0	0	0	142	0
"67"	2006	62	1	NA	"impute"	1	511.3	"ok"	4	"ok"	0	0	0	0	140	1
"68"	2006	63	1	2006-05-22	"withered"	0	933.39	"ok"	7	"ok"	1	12	8	0	142	0
"69"	2006	64	1	2006-05-15	"ok"	0	2029.83	"ok"	28	"ok"	2	34	8	0	135	0
"70"	2006	65	1	2006-05-14	"withered"	0	2446.26	"ok"	21	"ok"	2	25	18	11	134	0
"71"	2006	66	1	2006-05-14	"withered"	1	2040.02	"ok_m"	22	"ok"	0	0	0	0	134	0
"72"	2006	67	1	2006-05-16	"ok"	0	1159.13	"ok"	13	"ok"	3	40	10	10	136	0
"73"	2006	68	1	2006-05-16	"ok"	0	1124.51	"ok"	14	"ok"	0	0	0	0	136	0
"74"	2006	69	1	2006-05-15	"ok"	0	2446.99	"ok_m"	34	"ok"	2	30	10	NA	135	0
"75"	2006	70	1	2006-05-18	"ok"	0	873.6	"ok"	3	"ok"	0	0	0	0	138	0
"76"	2006	71	1	2006-05-16	"ok"	0	725.71	"ok"	7	"ok"	0	0	0	0	136	0
"77"	2006	72	1	2006-05-14	"withered"	0	3765.99	"ok_m"	20	"ok"	3	41	15	NA	134	0
"78"	2006	73	1	2006-05-14	"withered"	0	1254.62	"ok_m"	22	"ok"	2	26	12	12	134	0
"79"	2006	74	1	2006-05-22	"withered"	0.5	NA	"impute"	9	"ok"	0	0	0	0	142	0
"80"	2006	75	1	2006-05-30	"withered"	0	1333.46	"ok"	3	"ok"	0	0	0	0	150	0
"81"	2006	76	1	2006-05-22	"ok"	0	1883.48	"ok"	8	"ok"	0	0	0	0	142	0
"82"	2006	77	1	2006-06-04	"ok_added"	0	1846.63	"ok"	3	"ok"	1	11	3	3	155	0
"83"	2006	78	1	2006-05-24	"ok"	0	1472.03	"ok_m"	9	"ok"	0	0	0	0	144	0
"84"	2006	79	1	2006-05-22	"ok"	0	556.83	"ok_m"	1	"ok"	0	0	0	0	142	0
"85"	2006	80	1	2006-05-22	"withered"	0	516.91	"ok"	4	"ok"	0	0	0	0	142	0
"86"	2006	81	1	2006-05-26	"ok"	0	385.2	"ok"	2	"ok"	0	0	0	0	146	0
"87"	2006	82	1	2006-05-22	"ok"	0	1221.15	"ok"	6	"ok"	0	0	0	0	142	0
"88"	2006	83	1	2006-05-22	"ok"	0	1021.81	"ok"	14	"ok"	0	0	0	0	142	0
"89"	2006	84	1	2006-05-31	"ok_added"	0	1005.61	"ok"	8	"ok"	1	11	3	3	151	0
"90"	2006	85	1	2006-05-22	"withered"	0	2718.85	"ok"	16	"ok"	1	14	4	0	142	0
"91"	2006	86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"92"	2006	87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"93"	2006	88	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"94"	2006	89	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"95"	2006	90	1	2006-05-18	"withered"	0	4989.83	"ok"	65	"ok"	10	141	56	38.7692307692	138	0
"96"	2006	91	1	2006-05-17	"ok"	0	3545.61	"ok"	34	"ok"	6	72	27	14.04	137	0
"97"	2006	92	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"98"	2006	93	1	2006-05-13	"ok"	0.2	7891.85	"ok_m"	35	"ok"	5	67	22	8	133	0
"99"	2006	94	1	2006-05-13	"ok"	0	2913.47	"ok"	36	"ok"	6	67	25	4.6875	133	0
"100"	2006	95	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"101"	2006	96	0	NA	NA	1	440.34	NA	0	NA	NA	NA	NA	NA	NA	NA
"102"	2006	97	1	2006-05-18	"ok_added + withered"	0.3333333333	4237.77	"ok"	36	"ok"	3	42	21	0	138	0
"103"	2006	98	1	NA	"impute"	1	1422.8	"ok_m"	NA	"impute"	1	10	4	1	NA	NA
"104"	2006	99	1	NA	"impute"	1	1971.68	"ok_p"	2	"ok"	0	0	0	0	136	1
"105"	2006	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"106"	2006	101	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"107"	2006	102	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	2006	103	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"109"	2006	104	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"110"	2006	105	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"111"	2006	106	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
