"year","max_3","max_4","max_5","mean_3","mean_4","mean_5","min_3","min_4","min_5","precipitation_3","precipitation_4","precipitation_5"
1961,8.19032258064516,10.4716666666667,14.5467741935484,4,5.385,9.61935483870968,-0.174193548387097,0.495,5.78225806451613,14.2,20.1,73.7
1962,0.859677419354839,8.92,12.7016129032258,-4.55161290322581,4.455,8.16774193548387,-9.86451612903226,0.53,4.39677419354839,20.7,40.8,46.7
1963,0.606451612903226,7.79333333333333,16.6209677419355,-3.40967741935484,3.34833333333333,11.2290322580645,-7.33387096774194,-0.0116666666666667,5.99516129032258,7.7,33.6,23.5
1964,2.46774193548387,9.92166666666667,16.6129032258065,-1.41451612903226,4.79833333333333,11.308064516129,-5.49193548387097,0.685,6.11612903225806,0.3,10.3,30.4
1965,3.54193548387097,7.70833333333333,12.7016129032258,-1.06774193548387,4.015,7.87096774193548,-4.70645161290323,1.095,3.0758064516129,3.7,23.1,4
1966,3.40645161290323,5.31333333333333,14.5403225806452,-0.270967741935484,0.985,9.45483870967742,-3.28064516129032,-2.24666666666667,4.5241935483871,30,40.5,32
1967,6.59516129032258,9.08,13.8096774193548,3.23709677419355,4.82833333333333,8.98387096774194,0.506451612903226,1.20833333333333,5.51129032258065,21.5,42.5,68.5
1968,5.54193548387097,11.73,12.8209677419355,1.42096774193548,6.605,8.26451612903226,-2.33548387096774,1.87833333333333,4.44677419354839,14.5,38,88
1969,1.16451612903226,8.31833333333333,13.4145161290323,-4.11612903225806,4.06166666666667,9.04193548387097,-8.83709677419355,0.498333333333333,5.39516129032258,11,49.2,38.5
1970,1.57258064516129,5.78166666666667,15.0967741935484,-0.969354838709677,2.345,9.74193548387097,-3.8258064516129,-0.263333333333333,5.47096774193548,52.1,55.4,6
1971,1.33064516129032,7.31,16.058064516129,-1.74032258064516,3.64,10.8483870967742,-3.98548387096774,0.281666666666667,6.25483870967742,26.9,19.9,10.2
1972,4.61935483870968,7.575,13.8774193548387,1.07096774193548,3.89,9.29032258064516,-1.89193548387097,1.19,4.96129032258064,21.6,39.2,62.8
1973,7.80806451612903,8.1,15.1322580645161,3.6758064516129,4.16166666666667,10.4177419354839,0.358064516129032,1.06333333333333,6.4258064516129,6.5,36,34.2
1974,5.28225806451613,11.5883333333333,14.9258064516129,1.25645161290323,6.055,9.38709677419355,-2.41612903225806,0.96,4.29193548387097,24.2,3.3,20.1
1975,4.73870967741935,8.68833333333333,15.4209677419355,1.45322580645161,4.47333333333333,10.8967741935484,-1.81774193548387,0.981666666666667,6.48548387096774,35.8,23.8,47.7
1976,1.38225806451613,8.20333333333333,14.808064516129,-2.16935483870968,4.21333333333333,9.99193548387097,-5.92258064516129,0.705,5.66935483870968,18,24.9,39.1
1977,4.15,7.10166666666667,14.4306451612903,1.01774193548387,2.92833333333333,9.57741935483871,-2.08548387096774,-0.166666666666667,4.99677419354839,31.2,52.6,27.7
1978,2.20483870967742,7.52,14.85,-0.714516129032258,3.295,9.39193548387097,-3.40645161290323,-0.588333333333333,5.07258064516129,61.9,10,11.6
1979,2.78709677419355,7.58166666666667,14.9064516129032,-0.161290322580645,3.455,9.78709677419355,-2.62741935483871,0.213333333333333,6.03064516129032,22,45.9,32.2
1980,0.864516129032258,10.5766666666667,13.4548387096774,-2.22903225806452,5.205,8.45967741935484,-5.4741935483871,0.986666666666667,4.36129032258065,22.7,29.5,20
1981,2.4741935483871,9.30333333333333,16.7983870967742,-1.18548387096774,4.51166666666667,11.2,-4.46774193548387,0.303333333333333,6.87741935483871,60.9,14.8,17
1982,5.51451612903226,9.10666666666667,15.5370967741935,2.03870967741935,4.74166666666667,10.4387096774194,-0.696774193548387,0.723333333333333,6.38870967741935,45.5,50.2,26.4
1983,4.26774193548387,8.00833333333333,15.1370967741935,1.0258064516129,4.39833333333333,10.4403225806452,-1.74354838709677,1.36833333333333,6.81612903225806,65.8,29.8,50.4
1984,2.30645161290323,10.6766666666667,15.9596774193548,-0.891935483870968,5.635,11.1806451612903,-4.26935483870968,1.49333333333333,7.1741935483871,14,12.8,18.4
1985,1.96129032258065,6.19666666666667,15.0483870967742,-0.583870967741935,2.41666666666667,9.46612903225807,-2.87258064516129,-0.723333333333333,5.14838709677419,32.4,67.9,6.4
1986,3.67903225806452,7.08666666666667,16.7145161290323,0.733870967741935,2.96166666666667,11.4145161290323,-1.49193548387097,-0.49,6.50483870967742,48.1,48.1,61.4
1987,-0.185483870967742,9.14166666666667,13.3532258064516,-3.7741935483871,4.57833333333333,8.61451612903226,-7.03225806451613,0.48,4.90161290322581,25.4,5.7,52.6
1988,1.5758064516129,8.07830298877509,16.2806451612903,-1.16451612903226,3.68547620482653,11.441935483871,-3.77258064516129,0.252682324607639,6.58387096774194,15.8,26.4,19.5
1989,6.94354838709677,9.075,17.3145161290323,3.73548387096774,5.23666666666667,12.0048387096774,1.07903225806452,1.965,6.79354838709677,51.3,19,27.9
1990,9.22096774193548,11.9,17.4451612903226,5.35645161290323,7.195,12.0645161290323,1.85967741935484,2.87833333333333,7.52096774193548,22.6,9.3,16.8
1991,4.89516129032258,9.76,12.3532258064516,2.55161290322581,5.245,8.46129032258064,0.324193548387097,1.92666666666667,5.07741935483871,28.7,9.3,54.5
1992,5.83064516129032,7.01333333333333,17.8774193548387,2.74354838709677,3.82833333333333,12.7532258064516,0.230645161290323,1.16833333333333,7.76612903225806,29.9,79.8,5.2
1993,5.21129032258064,9.87,18.5774193548387,2.14354838709677,5.46166666666667,13.0290322580645,-0.670967741935484,1.435,7.76129032258064,16.6,18.5,7.3
1994,4.33225806451613,11.26,14.4048387096774,1.04677419354839,6.41833333333333,9.43225806451613,-1.74193548387097,2.49,4.7241935483871,43,35.3,13.9
1995,5.18709677419355,8.255,13.3645161290323,2.32096774193548,4.27166666666667,8.55,-0.111290322580645,1.07166666666667,3.98548387096774,51.6,72.2,62.4
1996,2.13870967741935,10.5833333333333,12.7758064516129,-1,5.20166666666667,8.25806451612903,-3.61774193548387,0.538333333333333,4.55645161290323,9.1,4.7,41.7
1997,6.92258064516129,8.57666666666667,13.4838709677419,2.4741935483871,3.87166666666667,8.7258064516129,-1.48064516129032,-0.0116666666666667,4.31935483870968,14.7,34.4,76.5
1998,3.26935483870968,7.38,15.2903225806452,-0.0258064516129032,3.76833333333333,10.1112903225806,-3.06774193548387,0.921666666666667,5.49032258064516,49,35,41.9
1999,4.10645161290323,11.7733333333333,14.4887096774194,1.58064516129032,7.18166666666667,9.47096774193548,-0.546774193548387,3.55833333333333,4.91129032258065,46,77.9,20.5
2000,5.91129032258065,10.67,16.4903225806452,1.81774193548387,6.29833333333333,11.6774193548387,-1.88548387096774,2.63166666666667,7.57096774193548,24.3,27.8,30.7
2001,2.49677419354839,9.08333333333333,15.8145161290323,-0.87258064516129,5.30833333333333,10.7225806451613,-3.96935483870968,2.30166666666667,6.12741935483871,24.3,20.7,26.4
2002,6.36129032258065,11.025,16.5403225806452,2.44032258064516,6.04666666666667,11.6967741935484,-0.896774193548387,1.98666666666667,7.26612903225806,19,14.6,30.1
2003,7.14838709677419,8.55166666666667,15.508064516129,2.71612903225806,3.925,10.7225806451613,-1.05483870967742,-0.235,6.35967741935484,10.9,58.1,53.1
2004,5.48709677419355,11.02,15.6838709677419,1.68387096774194,5.94666666666667,10.5161290322581,-1.58709677419355,1.19666666666667,6.16129032258065,28,17.3,29
2005,3.00322580645161,11.1833333333333,15.0209677419355,-2.15483870967742,5.87666666666667,10.008064516129,-7.01290322580645,0.655,5.9258064516129,25.6,20.8,31.8
2006,0.662903225806452,8.935,15.6516129032258,-3.65967741935484,4.61166666666667,10.4661290322581,-7.56451612903226,1.12333333333333,5.8241935483871,29.2,38.8,52.9
2007,8.16290322580645,12.7983333333333,15.5403225806452,4.1,7.20333333333333,10.9467741935484,0.995161290322581,1.94,6.94838709677419,37.5,28.8,22.7
2008,4.36129032258065,11.5766666666667,16.908064516129,1.58709677419355,6.65666666666667,11.4693548387097,-0.991935483870968,2.39333333333333,5.90645161290323,39.1,41.5,21.1
2009,3.5758064516129,12.9333333333333,16.4064516129032,0.866129032258064,7.18666666666667,11.0838709677419,-1.81612903225806,2.04833333333333,6.23548387096774,47.4,3.7,41.9
2010,3.35,10.2083333333333,15.6532258064516,-0.461290322580645,5.285,10.7,-3.73870967741935,1.17666666666667,6.45,15.1,24.8,64.8
2011,4.67741935483871,13.62,16.1629032258065,1.09032258064516,8.43833333333333,10.9258064516129,-2.30967741935484,3.73833333333333,6.36774193548387,18.6,11.8,37.8
2012,8.64032258064516,9.155,16.6983870967742,4.51451612903226,4.565,11.2032258064516,0.766129032258065,0.896666666666667,6.48709677419355,4.8,62.2,27
2013,1.89193548387097,8.91833333333333,17.4370967741935,-2.90322580645161,4.11666666666667,12.35,-7.33064516129032,-0.115,8.00483870967742,6,39.1,63.6
2014,8.44193548387097,11.94,15.0403225806452,4.21612903225806,6.85166666666667,10.4645161290323,0.666129032258065,1.99833333333333,6.34354838709677,41.3,35.2,41.1
2015,7.71142157374424,12.9601581136627,14.2838709677419,3.72887385392027,8.03747247964739,9.77741935483871,0.45875723412888,3.26628846771551,5.82258064516129,78.2,7.9,94.3
2016,6.25483870967742,10.0183333333333,17.5322580645161,2.80161290322581,5.665,12.208064516129,0.17258064516129,1.90833333333333,7.28225806451613,29.7,34.3,10
2017,7.10322580645161,9.72,15.9983870967742,3.2758064516129,4.805,10.8967741935484,0.0403225806451613,0.576666666666667,5.98387096774194,45.2,29.8,15.4
